,Seat,ConstituencyTitle,CandidateName,Party,Votes,TotalValidVotes,TotalRejectedVotes,TotalVotes,TotalRegisteredVoters,Turnout,
1163,KHUSHAB-I,NA-69,Sumaira Malik,Pakistan Muslim League (N),119193,201459,7816,207704,336551,61.72 %,
1164,KHUSHAB-I,NA-69,Umar Aslam Khan,Pakistan Tehreek-e-Insaf,80331,201459,7816,207704,336551,61.72 %,
1165,KHUSHAB-II,NA-70,ABDULLAH AHMED,Jamiat Ulama-e-Islam (F),7954,210142,6836,215424,343920,62.64 %,
1166,KHUSHAB-II,NA-70,DOCTOR MUHAMMAD RASHID MALIK,Pakistan Peoples Party Parliamentarians,2939,210142,6836,215424,343920,62.64 %,
1167,KHUSHAB-II,NA-70,GUL ASGHAR KHAN,Pakistan Tehreek-e-Insaf,38099,210142,6836,215424,343920,62.64 %,
1168,KHUSHAB-II,NA-70,KHALIL AHMED,Independent,736,210142,6836,215424,343920,62.64 %,
1169,KHUSHAB-II,NA-70,MALIK SHAKIR BASHIR AWAN,Pakistan Muslim League (N),94594,210142,6836,215424,343920,62.64 %,
1170,KHUSHAB-II,NA-70,MALIK ZAFAR IQBAL BORANA,Independent,347,210142,6836,215424,343920,62.64 %,
1171,KHUSHAB-II,NA-70,SARDAR SHUJJA MUHAMMAD KHAN,Independent,64885,210142,6836,215424,343920,62.64 %,
1172,KHUSHAB-II,NA-70,SYED IMRAN HYDER SHAH,Muttahida Qaumi Movement Pakistan,588,210142,6836,215424,343920,62.64 %,
1173,MIANWALI-I,NA-71,Abdul Azeem Khan almaroof Jimmi Khan,Independent,421,216394,7988,222919,386930,57.61 %,
1174,MIANWALI-I,NA-71,Abdul Hameed Khan,Muttahida Qaumi Movement Pakistan,143,216394,7988,222919,386930,57.61 %,
1175,MIANWALI-I,NA-71,AIlama Peer Muhammad Khan Qadri,Independent,329,216394,7988,222919,386930,57.61 %,
1176,MIANWALI-I,NA-71,Dr Mohammad Khalid Qureshi,Independent,277,216394,7988,222919,386930,57.61 %,
1177,MIANWALI-I,NA-71,Imran Khan,Pakistan Tehreek-e-Insaf,133224,216394,7988,222919,386930,57.61 %,
1178,MIANWALI-I,NA-71,Inam Ullah Khan Niazi,Independent,184,216394,7988,222919,386930,57.61 %,
1179,MIANWALI-I,NA-71,Muhammad Ali Khan,Independent,442,216394,7988,222919,386930,57.61 %,
1180,MIANWALI-I,NA-71,Muhammad Asghar Khan,Independent,322,216394,7988,222919,386930,57.61 %,
1181,MIANWALI-I,NA-71,Muhammad Sardar Bahadur Babar Khan of Swans,Independent,4926,216394,7988,222919,386930,57.61 %,
1182,MIANWALI-I,NA-71,Obaid Ullah Khan Shadi Khel,Pakistan Muslim League (N),73373,216394,7988,222919,386930,57.61 %,
1183,MIANWALI-I,NA-71,Shaukat Pervez Khan,Pakistan Peoples Party Parliamentarians,924,216394,7988,222919,386930,57.61 %,
1184,MIANWALI-I,NA-71,Syed Rafiq Ahmad Shah,Independent,1829,216394,7988,222919,386930,57.61 %,
1185,MIANWALI-II,NA-72,Amjid Ali Khan,Pakistan Tehreek-e-Insaf,126088,230577,8483,237444,371374,63.69 %,
1186,MIANWALI-II,NA-72,Gul Kamand Khan Yaru Khel,Independent,242,230577,8483,237444,371374,63.69 %,
1187,MIANWALI-II,NA-72,Humair Hayat Khan Rokhari,Pakistan Muslim League (N),66372,230577,8483,237444,371374,63.69 %,
1188,MIANWALI-II,NA-72,Inam Ullah Khan Niazi,Independent,8467,230577,8483,237444,371374,63.69 %,
1189,MIANWALI-II,NA-72,Javed Iqbal,Independent,806,230577,8483,237444,371374,63.69 %,
1190,MIANWALI-II,NA-72,Malik Khalid Awan,Pakistan Peoples Party Parliamentarians,1102,230577,8483,237444,371374,63.69 %,
1191,MIANWALI-II,NA-72,Malik Sajjad Bhachar,Independent,27124,230577,8483,237444,371374,63.69 %,
1192,MIANWALI-II,NA-72,Muhammad Ashraf Khan Niazi,Istehkaam-e-Pakistan Movement Party,163,230577,8483,237444,371374,63.69 %,
1193,MIANWALI-II,NA-72,Muhammad Ilyas,Muttahida Qaumi Movement Pakistan,213,230577,8483,237444,371374,63.69 %,
1194,BHAKKAR-I,NA-73,ABDUL HAMEED KHAN,Jamaat-e-Islami Pakistan,1593,217179,13256,230052,336765,68.31 %,
1195,BHAKKAR-I,NA-73,ABDUL MAJEED KHAN,Pakistan Muslim League (N),97688,217179,13256,230052,336765,68.31 %,
1196,BHAKKAR-I,NA-73,AMEER MUHAMMAD KHAN,Independent,541,217179,13256,230052,336765,68.31 %,
1197,BHAKKAR-I,NA-73,ASGHAR ALI JARA,Pakistan Peoples Party Parliamentarians,3223,217179,13256,230052,336765,68.31 %,
1198,BHAKKAR-I,NA-73,AZIZ AHMED KHAN MASTI KHEL,Independent,236,217179,13256,230052,336765,68.31 %,
1199,BHAKKAR-I,NA-73,EHSAN ULLAH KHAN BALUCH,Majlis-e-Wahdat-e-Muslimeen Pakistan,10344,217179,13256,230052,336765,68.31 %,
1200,BHAKKAR-I,NA-73,FAROOQ AHMED KHAN HASSAN KHAILI,Independent,390,217179,13256,230052,336765,68.31 %,
1201,BHAKKAR-I,NA-73,MALIK ANZAR ALI KHAWAR,Independent,3358,217179,13256,230052,336765,68.31 %,
1202,BHAKKAR-I,NA-73,MUHAMMAD ARSHAD AWAN,Independent,2246,217179,13256,230052,336765,68.31 %,
1203,BHAKKAR-I,NA-73,MUHAMMAD ARSHAD FAQIR,Pakistan Justice Party,419,217179,13256,230052,336765,68.31 %,
1204,BHAKKAR-I,NA-73,MUHAMMAD KHAN,Independent,123,217179,13256,230052,336765,68.31 %,
1205,BHAKKAR-I,NA-73,MUHAMMAD NAWAZ,Muttahida Qaumi Movement Pakistan,464,217179,13256,230052,336765,68.31 %,
1206,BHAKKAR-I,NA-73,MUHAMMAD SANA ULLAH KHAN MASTI KHAIL,Independent,91068,217179,13256,230052,336765,68.31 %,
1207,BHAKKAR-I,NA-73,NAJEEB ULLAH KHAN Niazi,Independent,3579,217179,13256,230052,336765,68.31 %,
1208,BHAKKAR-I,NA-73,NIGHAT YASMIN BEGUM,Independent,534,217179,13256,230052,336765,68.31 %,
1209,BHAKKAR-I,NA-73,QARI FATEH KHAN,Sunni Ittehad Council,796,217179,13256,230052,336765,68.31 %,
1210,BHAKKAR-I,NA-73,QAZI NAEEM AKHTAR,MUTAHIDA DEENI MAHAZ,577,217179,13256,230052,336765,68.31 %,
1211,BHAKKAR-II,NA-74,Ahmad Nawaz Khan,Independent,95246,246463,12216,255739,375159,68.16 %,
1212,BHAKKAR-II,NA-74,Alama Syed Farman Raza Abidi,Muttahida Qaumi Movement Pakistan,228,246463,12216,255739,375159,68.16 %,
1213,BHAKKAR-II,NA-74,Dr Muhammad Afzal Khan Dhandla,Independent,118196,246463,12216,255739,375159,68.16 %,
1214,BHAKKAR-II,NA-74,Habib Ullah Khan Niwani,Independent,8240,246463,12216,255739,375159,68.16 %,
1215,BHAKKAR-II,NA-74,Hasnain Ijaz Khan Shahani,Pakistan Peoples Party Parliamentarians,13489,246463,12216,255739,375159,68.16 %,
1216,BHAKKAR-II,NA-74,Muddassar Nazeer Utra,Independent,194,246463,12216,255739,375159,68.16 %,
1217,BHAKKAR-II,NA-74,Naveed Zafar Shah,Jamaat-e-Islami Pakistan,1396,246463,12216,255739,375159,68.16 %,
1218,BHAKKAR-II,NA-74,Rafique Ahmad Khan Niazi,Pakistan Tehreek-e-Insaf,6199,246463,12216,255739,375159,68.16 %,
1219,BHAKKAR-II,NA-74,Sardar Sikander Ahmad Khan,Independent,3041,246463,12216,255739,375159,68.16 %,
1220,BHAKKAR-II,NA-74,Syed Mukhtiar Hussain Shah Sherazi,Independent,234,246463,12216,255739,375159,68.16 %,
1221,FAISALABAD-I,NA-75,Chauhdary Adnan Mustafa Buttar,Independent,68,198540,3841,198044,321768,61.54 %,
1222,FAISALABAD-I,NA-75,Chauhdary Khawar Shafiq Ahmad,Independent,54,198540,3841,198044,321768,61.54 %,
1223,FAISALABAD-I,NA-75,Faqeer Hussain Faqeer,Independent,155,198540,3841,198044,321768,61.54 %,
1224,FAISALABAD-I,NA-75,Farooq Ahmad Chatha,Jamaat-e-Islami Pakistan,1499,198540,3841,198044,321768,61.54 %,
1225,FAISALABAD-I,NA-75,Fawad Ahmad Cheema,Pakistan Tehreek-e-Insaf,49131,198540,3841,198044,321768,61.54 %,
1226,FAISALABAD-I,NA-75,Ghulam Rasool Sahi,Pakistan Muslim League (N),130300,198540,3841,198044,321768,61.54 %,
1227,FAISALABAD-I,NA-75,Imtiaz Ahmad Lahra,Independent,58,198540,3841,198044,321768,61.54 %,
1228,FAISALABAD-I,NA-75,Javed Ahmad Chatha,Independent,216,198540,3841,198044,321768,61.54 %,
1229,FAISALABAD-I,NA-75,Khalid Farooq Bajwa,Independent,54,198540,3841,198044,321768,61.54 %,
1230,FAISALABAD-I,NA-75,Mian Rehan Maqbool,Independent,518,198540,3841,198044,321768,61.54 %,
1231,FAISALABAD-I,NA-75,Muhammad Afzal,Muttahida Qaumi Movement Pakistan,191,198540,3841,198044,321768,61.54 %,
1232,FAISALABAD-I,NA-75,Muhammad Asghar,Independent,59,198540,3841,198044,321768,61.54 %,
1233,FAISALABAD-I,NA-75,Muhammad Aslam,Independent,58,198540,3841,198044,321768,61.54 %,
1234,FAISALABAD-I,NA-75,Naseer Ahmad Hundal,Independent,68,198540,3841,198044,321768,61.54 %,
1235,FAISALABAD-I,NA-75,Pir Syed Tahir Ali Kazmi,Independent,999,198540,3841,198044,321768,61.54 %,
1236,FAISALABAD-I,NA-75,Saeed Javed,Independent,138,198540,3841,198044,321768,61.54 %,
1237,FAISALABAD-I,NA-75,Syed Ghulam Abul Hassan Shah,Markazi Jamiat Mushaikh Pakistan,224,198540,3841,198044,321768,61.54 %,
1238,FAISALABAD-I,NA-75,Syedah Huma Tehseen,Independent,896,198540,3841,198044,321768,61.54 %,
1239,FAISALABAD-I,NA-75,Tariq Mahmood Bajwa,Pakistan Peoples Party Parliamentarians,9916,198540,3841,198044,321768,61.54 %,
1240,FAISALABAD-I,NA-75,Zafar Zulqarnain Sahi,Independent,97,198540,3841,198044,321768,61.54 %,
1241,FAISALABAD-II,NA-76,Abdul Majeed,Independent,57,185170,6346,191686,329266,58.21 %,
1242,FAISALABAD-II,NA-76,Abdul Waheed Khan Niazi,Independent,14290,185170,6346,191686,329266,58.21 %,
1243,FAISALABAD-II,NA-76,Choudhary Azhar Hussain,Independent,7146,185170,6346,191686,329266,58.21 %,
1244,FAISALABAD-II,NA-76,Choudhary Muhammad Akram Afzaal,Independent,20,185170,6346,191686,329266,58.21 %,
1245,FAISALABAD-II,NA-76,Choudhary Sana Ullah Qamar Bajwa,Independent,646,185170,6346,191686,329266,58.21 %,
1246,FAISALABAD-II,NA-76,Haji Rashid Ahmed Khan Rana,All Pakistan Muslim League,116,185170,6346,191686,329266,58.21 %,
1247,FAISALABAD-II,NA-76,Maj R Abdul Rehman Rana,Independent,69,185170,6346,191686,329266,58.21 %,
1248,FAISALABAD-II,NA-76,Malik Nawab Sher Wasseer,Pakistan Peoples Party Parliamentarians,35750,185170,6346,191686,329266,58.21 %,
1249,FAISALABAD-II,NA-76,Manzoor Ali Advocate,Independent,19,185170,6346,191686,329266,58.21 %,
1250,FAISALABAD-II,NA-76,Mian Abu Bakar Hamza,Mohajir Qaumi Movement Pakistan,34,185170,6346,191686,329266,58.21 %,
1251,FAISALABAD-II,NA-76,Muhammad Arfan Siddiquei Advocate,MUTAHIDA DEENI MAHAZ,189,185170,6346,191686,329266,58.21 %,
1252,FAISALABAD-II,NA-76,Muhammad Tallal Choudhary,Pakistan Muslim League (N),101797,185170,6346,191686,329266,58.21 %,
1253,FAISALABAD-II,NA-76,Muhammad Waqar Wasi Chaudhary,Pakistan Tehreek-e-Insaf,17758,185170,6346,191686,329266,58.21 %,
1254,FAISALABAD-II,NA-76,Muhammad Yousaf Adil,Independent,73,185170,6346,191686,329266,58.21 %,
1255,FAISALABAD-II,NA-76,Qazi Sibghatullah,Independent,168,185170,6346,191686,329266,58.21 %,
1256,FAISALABAD-II,NA-76,Rai Ijaz Hussain,Independent,33,185170,6346,191686,329266,58.21 %,
1257,FAISALABAD-II,NA-76,Rai Muhammad Shah Jahan Khan karai,Independent,82,185170,6346,191686,329266,58.21 %,
1258,FAISALABAD-II,NA-76,Rai Shuja Tanveer Rahi,Independent,714,185170,6346,191686,329266,58.21 %,
1259,FAISALABAD-II,NA-76,Sadia Khan,Independent,1200,185170,6346,191686,329266,58.21 %,
1260,FAISALABAD-II,NA-76,Sajid Mehmood Qadri,Pakistan Sunni Tehreek,42,185170,6346,191686,329266,58.21 %,
1261,FAISALABAD-II,NA-76,Sardar Akbar Ali Dogar Advocate,Independent,12,185170,6346,191686,329266,58.21 %,
1262,FAISALABAD-II,NA-76,Shafqat Rana,Independent,286,185170,6346,191686,329266,58.21 %,
1263,FAISALABAD-II,NA-76,Shahid Sultan,Muttahida Qaumi Movement Pakistan,296,185170,6346,191686,329266,58.21 %,
1264,FAISALABAD-II,NA-76,Waseem Afzaal,Independent,34,185170,6346,191686,329266,58.21 %,
1265,FAISALABAD-II,NA-76,Yahya Bakhtiar,Jamaat-e-Islami Pakistan,3220,185170,6346,191686,329266,58.21 %,
1266,FAISALABAD-II,NA-76,Zia Shahid Waseer,Independent,60,185170,6346,191686,329266,58.21 %,
1267,FAISALABAD-III,NA-77,Ali Akhtar,Independent,754,175444,5667,180589,294667,61.48 %,
1268,FAISALABAD-III,NA-77,Haji Saith Manzoor Ahmad Gojar,Independent,132,175444,5667,180589,294667,61.48 %,
1269,FAISALABAD-III,NA-77,Malik Ghulam Murtaza Zahid Khichi,Independent,30,175444,5667,180589,294667,61.48 %,
1270,FAISALABAD-III,NA-77,Mehmood Ahmad,Independent,78,175444,5667,180589,294667,61.48 %,
1271,FAISALABAD-III,NA-77,Muhammad Asim Nazeer,Pakistan Muslim League (N),98057,175444,5667,180589,294667,61.48 %,
1272,FAISALABAD-III,NA-77,Muhammad Khan Nadeem,Independent,1439,175444,5667,180589,294667,61.48 %,
1273,FAISALABAD-III,NA-77,Peer Sayed Munir Hussain Shah Noori,Pakistan Sunni Tehreek,488,175444,5667,180589,294667,61.48 %,
1274,FAISALABAD-III,NA-77,Rai Haider Ali Khan,Independent,100,175444,5667,180589,294667,61.48 %,
1275,FAISALABAD-III,NA-77,Rai Muhammad Akram Khan,Jamaat-e-Islami Pakistan,961,175444,5667,180589,294667,61.48 %,
1276,FAISALABAD-III,NA-77,Rai Naeem Asad Kharal,Pakistan Tehreek-e-Insaf,10444,175444,5667,180589,294667,61.48 %,
1277,FAISALABAD-III,NA-77,Rana Asad Elahi Qadri,Independent,259,175444,5667,180589,294667,61.48 %,
1278,FAISALABAD-III,NA-77,Rana Muhammad Taimoor Hamyat,Independent,27,175444,5667,180589,294667,61.48 %,
1279,FAISALABAD-III,NA-77,Sajid Ali,Muttahida Qaumi Movement Pakistan,1179,175444,5667,180589,294667,61.48 %,
1280,FAISALABAD-III,NA-77,Sakhawat Imran,Independent,64,175444,5667,180589,294667,61.48 %,
1281,FAISALABAD-III,NA-77,Sarwar Khan Lashari Advocate High Court,Independent,1962,175444,5667,180589,294667,61.48 %,
1282,FAISALABAD-III,NA-77,Shabir Ahmad,Independent,385,175444,5667,180589,294667,61.48 %,
1283,FAISALABAD-III,NA-77,Zaheer ud din,Pakistan Muslim League,58680,175444,5667,180589,294667,61.48 %,
1284,FAISALABAD-IV,NA-78,CHAUDHARY NADEEM,Independent,950,177008,12488,188935,301973,62.57 %,
1285,FAISALABAD-IV,NA-78,M AMEEN WATOO,Muttahida Qaumi Movement Pakistan,379,177008,12488,188935,301973,62.57 %,
1286,FAISALABAD-IV,NA-78,MAHR GHULAM MUSTAFA MANGAN ADVOCATE,Awami Justice Party,2645,177008,12488,188935,301973,62.57 %,
1287,FAISALABAD-IV,NA-78,MUHAMMAD SAFDAR SHAKIR,Independent,45924,177008,12488,188935,301973,62.57 %,
1288,FAISALABAD-IV,NA-78,RAJAB ALI KHAN BALOCH,Pakistan Muslim League (N),88162,177008,12488,188935,301973,62.57 %,
1289,FAISALABAD-IV,NA-78,SAADULLAH MEHMOOD URF MUHAMMAD YASIR BALOCH,Pakistan Tehreek-e-Insaf,11297,177008,12488,188935,301973,62.57 %,
1290,FAISALABAD-IV,NA-78,SAHIBZADA AHMED RAZA KHAN QASOORI,All Pakistan Muslim League,923,177008,12488,188935,301973,62.57 %,
1291,FAISALABAD-IV,NA-78,SHAHADAT ALI KHAN BALOCH,Pakistan Peoples Party Parliamentarians,23274,177008,12488,188935,301973,62.57 %,
1292,FAISALABAD-IV,NA-78,WAQAR MUSHTAQ TOOR,Independent,3454,177008,12488,188935,301973,62.57 %,
1293,FAISALABAD-V,NA-79,ABDUL RASHEED Chughtai,Independent,94,192563,7322,190941,335868,56.85 %,
1294,FAISALABAD-V,NA-79,ADMIRAL R JAVED IQBAL,Pakistan Falah Party,79,192563,7322,190941,335868,56.85 %,
1295,FAISALABAD-V,NA-79,ADOVATE MUHAMMAD YAQOOB,Independent,325,192563,7322,190941,335868,56.85 %,
1296,FAISALABAD-V,NA-79,ALHAAJ CHOUDHRY ZULFIQAR ALI,Mohib-e-Wattan Nowjawan Inqilabion Ki Anjuman (MNAKA),2476,192563,7322,190941,335868,56.85 %,
1297,FAISALABAD-V,NA-79,AMANULLAH MOHSIN KARANGI,Independent,88,192563,7322,190941,335868,56.85 %,
1298,FAISALABAD-V,NA-79,ANWAR CHOUDHRY,Independent,684,192563,7322,190941,335868,56.85 %,
1299,FAISALABAD-V,NA-79,CHOUDHRY ADIL SABOOR,Pakistan Muslim League,4660,192563,7322,190941,335868,56.85 %,
1300,FAISALABAD-V,NA-79,CHOUDHRY GULZAR HUSSAIN GOHAR ADVOCATE,All Pakistan Muslim League,110,192563,7322,190941,335868,56.85 %,
1301,FAISALABAD-V,NA-79,CHOUDHRY MUHAMMAD ANWAR,Jamaat-e-Islami Pakistan,1438,192563,7322,190941,335868,56.85 %,
1302,FAISALABAD-V,NA-79,CHOUDHRY MUHAMMAD MUSTAQEEM MEHAR,Independent,118,192563,7322,190941,335868,56.85 %,
1303,FAISALABAD-V,NA-79,CHOUDHRY MUHAMMAD SHAHBAZ BABAR,Pakistan Muslim League (N),118516,192563,7322,190941,335868,56.85 %,
1304,FAISALABAD-V,NA-79,CHOUDHRY SAFDAR REHMAN,Independent,2594,192563,7322,190941,335868,56.85 %,
1305,FAISALABAD-V,NA-79,FARKHANDA AMJAD WARAICH,Pakistan National Muslim League,11549,192563,7322,190941,335868,56.85 %,
1306,FAISALABAD-V,NA-79,HAJI MUHAMMAD YASIN,Independent,385,192563,7322,190941,335868,56.85 %,
1307,FAISALABAD-V,NA-79,IMTIAZ ALI,Muttahida Qaumi Movement Pakistan,898,192563,7322,190941,335868,56.85 %,
1308,FAISALABAD-V,NA-79,KHALID ABDULLAH GHAZI,Pakistan Tehreek-e-Insaf,22420,192563,7322,190941,335868,56.85 %,
1309,FAISALABAD-V,NA-79,MUHAMMAD FAROOQ ARSHAD,Independent,149,192563,7322,190941,335868,56.85 %,
1310,FAISALABAD-V,NA-79,MUHAMMAD SARFRAZ AKBAR,Sunni Ittehad Council,1530,192563,7322,190941,335868,56.85 %,
1311,FAISALABAD-V,NA-79,MUHAMMAD USMAN SAEED KHAN,Independent,209,192563,7322,190941,335868,56.85 %,
1312,FAISALABAD-V,NA-79,QARI NASIR MAHMOOD MUGHAL,Awami Justice Party,346,192563,7322,190941,335868,56.85 %,
1313,FAISALABAD-V,NA-79,RANA MUHAMMAD FAROOQ SAEED KHAN,Pakistan Peoples Party Parliamentarians,21716,192563,7322,190941,335868,56.85 %,
1314,FAISALABAD-V,NA-79,RANA ZEESHAN ALI KHAN ADVOCATE,Independent,196,192563,7322,190941,335868,56.85 %,
1315,FAISALABAD-V,NA-79,TAHIRA ANJUM CHOUDHRY,Independent,1981,192563,7322,190941,335868,56.85 %,
1316,FAISALABAD-VI,NA-80,Basharat Ali Khan Advocate,Sunni Ittehad Council,1465,198111,7743,205706,343277,59.92 %,
1317,FAISALABAD-VI,NA-80,Ch Ghulam Dastageer,All Pakistan Muslim League,482,198111,7743,205706,343277,59.92 %,
1318,FAISALABAD-VI,NA-80,Ch Raza Nasrullah Ghuman,Independent,5905,198111,7743,205706,343277,59.92 %,
1319,FAISALABAD-VI,NA-80,Khalid Rafee Cheema,Independent,12924,198111,7743,205706,343277,59.92 %,
1320,FAISALABAD-VI,NA-80,Mian Muhammad Farooq,Pakistan Muslim League (N),96039,198111,7743,205706,343277,59.92 %,
1321,FAISALABAD-VI,NA-80,Mian Muhammad Naeem,Pakistan Tehreek-e-Insaf,25015,198111,7743,205706,343277,59.92 %,
1322,FAISALABAD-VI,NA-80,Muhammad Mukhtar,Independent,306,198111,7743,205706,343277,59.92 %,
1323,FAISALABAD-VI,NA-80,Muhammad Zafar Iqbal Gujjar,Awami Justice Party,246,198111,7743,205706,343277,59.92 %,
1324,FAISALABAD-VI,NA-80,Rana Asif Touseef,Pakistan Muslim League,54427,198111,7743,205706,343277,59.92 %,
1325,FAISALABAD-VI,NA-80,Rana Muhammad Adnan Khan,Jamaat-e-Islami Pakistan,1302,198111,7743,205706,343277,59.92 %,
1326,FAISALABAD-VII,NA-81,CH DILBAR HUSSAIN GHAFFARI,Awami Muslim League Pakistan,606,206571,5824,212395,344031,61.74 %,
1327,FAISALABAD-VII,NA-81,CH TASEER IQBAL,Independent,457,206571,5824,212395,344031,61.74 %,
1328,FAISALABAD-VII,NA-81,DOCTOR MUHAMMAD YASEEN,Independent,540,206571,5824,212395,344031,61.74 %,
1329,FAISALABAD-VII,NA-81,ENGINEER MUHAMMAD AZEEM RANDHAWA,Jamaat-e-Islami Pakistan,5774,206571,5824,212395,344031,61.74 %,
1330,FAISALABAD-VII,NA-81,JAHANZAIB IMTIAZ GILL,Pakistan Tehreek-e-Insaf,28578,206571,5824,212395,344031,61.74 %,
1331,FAISALABAD-VII,NA-81,MASHOOD AHSAN GILL,All Pakistan Muslim League,626,206571,5824,212395,344031,61.74 %,
1332,FAISALABAD-VII,NA-81,MUHAMMAD YASEEN KHAN,Independent,160,206571,5824,212395,344031,61.74 %,
1333,FAISALABAD-VII,NA-81,MUHAMMD SHAHBAZ KISANA ADVOCATE,Independent,7285,206571,5824,212395,344031,61.74 %,
1334,FAISALABAD-VII,NA-81,NISAR AHMAD,Pakistan Muslim League (N),122041,206571,5824,212395,344031,61.74 %,
1335,FAISALABAD-VII,NA-81,RANA AKBAR ABBAS,Awami Justice Party,209,206571,5824,212395,344031,61.74 %,
1336,FAISALABAD-VII,NA-81,RAO ALI SHEHARYAR KHAN,Independent,132,206571,5824,212395,344031,61.74 %,
1337,FAISALABAD-VII,NA-81,SAEED IQBAL,Pakistan Peoples Party Parliamentarians,40163,206571,5824,212395,344031,61.74 %,
1338,FAISALABAD-VIII,NA-82,Asad Ali Ansari,Independent,414,200368,2805,203173,343634,59.12 %,
1339,FAISALABAD-VIII,NA-82,Chaudhary Muhammad Iqbal,Pakistan National Muslim League,583,200368,2805,203173,343634,59.12 %,
1340,FAISALABAD-VIII,NA-82,Dr Munawar Fayyaz Sunny,Independent,346,200368,2805,203173,343634,59.12 %,
1341,FAISALABAD-VIII,NA-82,Makhdoom Syyed Zawar Hussain,Muttahida Qaumi Movement Pakistan,81,200368,2805,203173,343634,59.12 %,
1342,FAISALABAD-VIII,NA-82,Malik Kashif Awan,Independent,33,200368,2805,203173,343634,59.12 %,
1343,FAISALABAD-VIII,NA-82,Malik Muhammad Siddique Advocate,All Pakistan Muslim League,1789,200368,2805,203173,343634,59.12 %,
1344,FAISALABAD-VIII,NA-82,Mehr Hamid Rashid,Independent,289,200368,2805,203173,343634,59.12 %,
1345,FAISALABAD-VIII,NA-82,Mian Muhammad Younis,Jamaat-e-Islami Pakistan,2153,200368,2805,203173,343634,59.12 %,
1346,FAISALABAD-VIII,NA-82,Mian Saqib Rehman,Independent,12,200368,2805,203173,343634,59.12 %,
1347,FAISALABAD-VIII,NA-82,Mohtarma Nazish Aslam Advocate,Awami Justice Party,117,200368,2805,203173,343634,59.12 %,
1348,FAISALABAD-VIII,NA-82,Mufti Abdul Shakoor Rizvi,Jamiat Ulama-e-Pakistan  (Noorani),38,200368,2805,203173,343634,59.12 %,
1349,FAISALABAD-VIII,NA-82,Muhammad Aslam Miraj,Awami Workers Party,1619,200368,2805,203173,343634,59.12 %,
1350,FAISALABAD-VIII,NA-82,Muhammad Umer,Independent,271,200368,2805,203173,343634,59.12 %,
1351,FAISALABAD-VIII,NA-82,Naveed Ahmad Sindhu,Independent,796,200368,2805,203173,343634,59.12 %,
1352,FAISALABAD-VIII,NA-82,Nisar Akbar Khan,Pakistan Tehreek-e-Insaf,36373,200368,2805,203173,343634,59.12 %,
1353,FAISALABAD-VIII,NA-82,Peer Muhammad Fazal Haq,Independent,39,200368,2805,203173,343634,59.12 %,
1354,FAISALABAD-VIII,NA-82,Rana Ihsan Afzal Khan,Independent,819,200368,2805,203173,343634,59.12 %,
1355,FAISALABAD-VIII,NA-82,Rana Muhammad Afzal Khan,Pakistan Muslim League (N),126349,200368,2805,203173,343634,59.12 %,
1356,FAISALABAD-VIII,NA-82,Rana Muhammad Javed Ashraf,Independent,25,200368,2805,203173,343634,59.12 %,
1357,FAISALABAD-VIII,NA-82,Sahibzada Muhammad Hamid Raza,Sunni Ittehad Council,27632,200368,2805,203173,343634,59.12 %,
1358,FAISALABAD-VIII,NA-82,Sarfraz Ahmad,Independent,112,200368,2805,203173,343634,59.12 %,
1359,FAISALABAD-VIII,NA-82,Tipu Sultan,Jamiat Ulama-e-Islam (F),278,200368,2805,203173,343634,59.12 %,
1360,FAISALABAD-X,NA-84,ABID ALI,Pakistan Muslim League (N),103176,180364,4509,184873,308900,59.84 %,
1361,FAISALABAD-X,NA-84,ADNAN ANWAR REHMANI,Independent,163,180364,4509,184873,308900,59.84 %,
1362,FAISALABAD-X,NA-84,CHAUDHRY MUNAWAR HAFEEZ,Muttahida Qaumi Movement Pakistan,50,180364,4509,184873,308900,59.84 %,
1363,FAISALABAD-X,NA-84,DOCTOR KHALID IMTIAZ KHAN BALOCH,Independent,6985,180364,4509,184873,308900,59.84 %,
1364,FAISALABAD-X,NA-84,FARRUKH HABIB,Pakistan Tehreek-e-Insaf,42336,180364,4509,184873,308900,59.84 %,
1365,FAISALABAD-X,NA-84,ISRAR AHMAD CHISHTI ADVOCATE,All Pakistan Muslim League,1532,180364,4509,184873,308900,59.84 %,
1366,FAISALABAD-X,NA-84,JAVED ZULFIQAR,Independent,52,180364,4509,184873,308900,59.84 %,
1367,FAISALABAD-X,NA-84,MAHR GHULAM MUSTAFA MANGAN ADVOCATE,Awami Justice Party,78,180364,4509,184873,308900,59.84 %,
1368,FAISALABAD-X,NA-84,MAKHDOOM ZADA SYED MUHAMMAD ZAKARIA SHAH,Jamiat Ulama-e-Islam (F),1251,180364,4509,184873,308900,59.84 %,
1369,FAISALABAD-X,NA-84,MALIK ASGHAR ALI QAISAR,Pakistan Peoples Party Parliamentarians,21343,180364,4509,184873,308900,59.84 %,
1370,FAISALABAD-X,NA-84,MIAN SALAH UD DIN,Independent,196,180364,4509,184873,308900,59.84 %,
1371,FAISALABAD-X,NA-84,MRS MEHWISH CHAUDHRY ADVOCATE,Pakistan Gharib Party,256,180364,4509,184873,308900,59.84 %,
1372,FAISALABAD-X,NA-84,MUHAMMAD MUSHTAQ,Independent,48,180364,4509,184873,308900,59.84 %,
1373,FAISALABAD-X,NA-84,SAJID IQBAL GUJJAR,Independent,156,180364,4509,184873,308900,59.84 %,
