,Seat,ConstituencyTitle,CandidateName,Party,Votes,TotalValidVotes,TotalRejectedVotes,TotalVotes,TotalRegisteredVoters,Turnout
643,Faisalabad-I,NA-75,Wajad Mustafa Bajwa.,Independent,100,153838,2531,156299,265662,58.83 %
644,Faisalabad-II,NA-76,Abbas Ahmed Gondal.,Independent,164,139108,4543,143616,255928,56.11 %
645,Faisalabad-II,NA-76,Abid Hussain,Independent,215,139108,4543,143616,255928,56.11 %
646,Faisalabad-II,NA-76,Amir Kalum Iqbal Naru.,Independent,26,139108,4543,143616,255928,56.11 %
647,Faisalabad-II,NA-76,Ch. Muhammad Wasi Zafar.,Independent,16121,139108,4543,143616,255928,56.11 %
648,Faisalabad-II,NA-76,Faisal Anwar.,Independent,38,139108,4543,143616,255928,56.11 %
649,Faisalabad-II,NA-76,Malik Nawab Sher Waseer,Pakistan Peoples Party Parliamentarians,43294,139108,4543,143616,255928,56.11 %
650,Faisalabad-II,NA-76,Muhammad Naveed.,Independent,166,139108,4543,143616,255928,56.11 %
651,Faisalabad-II,NA-76,Muhammad Tanveer.,Independent,212,139108,4543,143616,255928,56.11 %
652,Faisalabad-II,NA-76,Muhammad Waqar Wasi Chaudhary.,Independent,70,139108,4543,143616,255928,56.11 %
653,Faisalabad-II,NA-76,Rai Salah-ud-Din,Pakistan Muslim League (N),37734,139108,4543,143616,255928,56.11 %
654,Faisalabad-II,NA-76,Zahid Nazir,Pakistan Muslim League,41068,139108,4543,143616,255928,56.11 %
655,Faisalabad-III,NA-77,Ch. Muhammad Wasi Zafar.,Independent,34,138490,3316,141680,240482,58.91 %
656,Faisalabad-III,NA-77,Ch. Munir Ahmad.,Independent,54,138490,3316,141680,240482,58.91 %
657,Faisalabad-III,NA-77,Ch. Raza Nasrullah Ghoman.,Independent,55,138490,3316,141680,240482,58.91 %
658,Faisalabad-III,NA-77,Mehmood Ahmad.,Independent,172,138490,3316,141680,240482,58.91 %
659,Faisalabad-III,NA-77,Muhammad Asim Nazir.,Pakistan Muslim League,63776,138490,3316,141680,240482,58.91 %
660,Faisalabad-III,NA-77,Muhammad Shafique.,Independent,99,138490,3316,141680,240482,58.91 %
661,Faisalabad-III,NA-77,Muhammad Talal Chaudhry.,Pakistan Muslim League (N),49807,138490,3316,141680,240482,58.91 %
662,Faisalabad-III,NA-77,Muhammad Waqar Wasi Ch.,Independent,37,138490,3316,141680,240482,58.91 %
663,Faisalabad-III,NA-77,Sajjad Ahmad Awan.,Pakistan Peoples Party Parliamentarians,23959,138490,3316,141680,240482,58.91 %
664,Faisalabad-III,NA-77,Sarwar Khan Lashri Advocate High Court.,Muttahida Qaumi Movement Pakistan,167,138490,3316,141680,240482,58.91 %
665,Faisalabad-III,NA-77,Shabbir Ahmad.,Independent,330,138490,3316,141680,240482,58.91 %
666,Faisalabad-IV,NA-78,Mian Rajab Ali Khan Baloch.,Pakistan Muslim League,59231,141598,5383,146981,273193,53.80 %
667,Faisalabad-IV,NA-78,Muhammad Amin Wattoo.,Muttahida Qaumi Movement Pakistan,388,141598,5383,146981,273193,53.80 %
668,Faisalabad-IV,NA-78,Pirzada Muhammad Ashraf Zia,Pakistan Muslim League (N),2852,141598,5383,146981,273193,53.80 %
669,Faisalabad-IV,NA-78,Raheela Perveen.,Pakistan Peoples Party Parliamentarians,79127,141598,5383,146981,273193,53.80 %
670,Faisalabad-V,NA-79,Ch. Hammad Muhammad Khan,Pakistan Peoples Party Parliamentarians,27078,148867,7226,156093,275953,56.56 %
671,Faisalabad-V,NA-79,Ch. Safdar-ur-Rehman,Pakistan Muslim League (N),27869,148867,7226,156093,275953,56.56 %
672,Faisalabad-V,NA-79,Ch.Muhammad Naveed Iqbal,Independent,75,148867,7226,156093,275953,56.56 %
673,Faisalabad-V,NA-79,Engineer Ch. Khalid Mehmood,Independent,5747,148867,7226,156093,275953,56.56 %
674,Faisalabad-V,NA-79,Fakhar Mehmood,Independent,268,148867,7226,156093,275953,56.56 %
675,Faisalabad-V,NA-79,Muhammad Safdar Shakir.,Pakistan Muslim League,29267,148867,7226,156093,275953,56.56 %
676,Faisalabad-V,NA-79,Rana Muhammad Farooq Saeed Khan,Independent,58563,148867,7226,156093,275953,56.56 %
677,Faisalabad-VI,NA-80,Asif Tauseef.,Pakistan Muslim League,56724,138897,3896,142793,260300,54.75 %
678,Faisalabad-VI,NA-80,Ch. Abu Bakar Siddique Bungoo.,Independent,276,138897,3896,142793,260300,54.75 %
679,Faisalabad-VI,NA-80,Mian Muhammad Qasim Farooq.,Pakistan Muslim League (N),44927,138897,3896,142793,260300,54.75 %
680,Faisalabad-VI,NA-80,Mian Tariq Habib.,Pakistan Peoples Party Parliamentarians,36970,138897,3896,142793,260300,54.75 %
681,Faisalabad-VII,NA-81,Allma Muhammad Saeed Ahmad Asad.,Independent,203,144790,3616,153406,252974,60.64 %
682,Faisalabad-VII,NA-81,Ch. Atif Hussain.,Independent,314,144790,3616,153406,252974,60.64 %
683,Faisalabad-VII,NA-81,Doctor Nisar Ahmad Jat.,Pakistan Muslim League,55646,144790,3616,153406,252974,60.64 %
684,Faisalabad-VII,NA-81,Nisar Akbar Khan.,Pakistan Muslim League (N),23305,144790,3616,153406,252974,60.64 %
685,Faisalabad-VII,NA-81,Saeed Iqbal.,Pakistan Peoples Party Parliamentarians,65322,144790,3616,153406,252974,60.64 %
686,Faisalabad-VIII,NA-82,Aezid Mahmood Khan.,Pakistan Peoples Party Parliamentarians,55073,132853,2239,135080,287186,47 %
687,Faisalabad-VIII,NA-82,Anjam Naseem Pawar.,Independent,63,132853,2239,135080,287186,47 %
688,Faisalabad-VIII,NA-82,Mahmood Ahmad Khan Qalandar.,Pakistan Qaumi Party,99,132853,2239,135080,287186,47 %
689,Faisalabad-VIII,NA-82,Rana Zahid Mahmood.,Pakistan Muslim League,14609,132853,2239,135080,287186,47 %
690,Faisalabad-VIII,NA-82,Sahibzada Haji Muhammad Fazal-e-Kareem.,Pakistan Muslim League (N),62889,132853,2239,135080,287186,47 %
691,Faisalabad-VIII,NA-82,Saqib Rehman.,MUTTHIDA MAJLIS-E-AMAL PAKISTAN,120,132853,2239,135080,287186,47 %
692,Faisalabad-IX,NA-83,Engineer Javed Chaudhry,Independent,53,140145,3059,143202,311576,45.96 %
693,Faisalabad-IX,NA-83,Lala Robin Daniel.,Independent,204,140145,3059,143202,311576,45.96 %
694,Faisalabad-IX,NA-83,Mian Abdul Mannan.,Pakistan Muslim League (N),55861,140145,3059,143202,311576,45.96 %
695,Faisalabad-IX,NA-83,Mian Irfan Ahmad.,Independent,295,140145,3059,143202,311576,45.96 %
696,Faisalabad-IX,NA-83,Muhammad Ijaz Virk Advocate.,Pakistan Peoples Party Parliamentarians,56910,140145,3059,143202,311576,45.96 %
697,Faisalabad-IX,NA-83,Mushtaq Ali Cheema.,Pakistan Muslim League,26599,140145,3059,143202,311576,45.96 %
698,Faisalabad-IX,NA-83,Sheikh Muhammad Aqeel Haider.,Independent,77,140145,3059,143202,311576,45.96 %
699,Faisalabad-X,NA-84,Abid Ali.,Pakistan Muslim League (N),59616,112068,1805,113223,249391,45.4 %
700,Faisalabad-X,NA-84,Ch. Imtiaz Rabbani.,Independent,185,112068,1805,113223,249391,45.4 %
701,Faisalabad-X,NA-84,M. Raza Ali Shamas.,Independent,13,112068,1805,113223,249391,45.4 %
702,Faisalabad-X,NA-84,Malik Muhammad Rafique.,Independent,44,112068,1805,113223,249391,45.4 %
703,Faisalabad-X,NA-84,Mehar Abdul Rashid.,Pakistan Peoples Party Parliamentarians,38421,112068,1805,113223,249391,45.4 %
704,Faisalabad-X,NA-84,Miss Mehwish Chaudhary,Pakistan Gharib Party,215,112068,1805,113223,249391,45.4 %
705,Faisalabad-X,NA-84,Rana Zahid Mahmood.,Pakistan Muslim League,11925,112068,1805,113223,249391,45.4 %
706,Faisalabad-X,NA-84,Shakil Ahmad Khan.,Independent,1614,112068,1805,113223,249391,45.4 %
707,Faisalabad-X,NA-84,Tariq Bashir Ghauri.,Independent,35,112068,1805,113223,249391,45.4 %
708,Faisalabad-XI,NA-85,Haji Bilal Noor Ansari.,Pakistan Muslim League,11139,130907,2023,132930,286136,46.45 %
709,Faisalabad-XI,NA-85,Haji Muhammad Akram Ansari.,Pakistan Muslim League (N),72197,130907,2023,132930,286136,46.45 %
710,Faisalabad-XI,NA-85,Mufti Fazal-ur-Rehman Nasir.,MUTTHIDA MAJLIS-E-AMAL PAKISTAN,1110,130907,2023,132930,286136,46.45 %
711,Faisalabad-XI,NA-85,Shakeel Ahmed.,Pakistan Peoples Party Parliamentarians,46461,130907,2023,132930,286136,46.45 %
712,Jhang-I,NA-86,Muhammad Ashraf Khan Chadhar,Independent,669,138686,0,138661,307209,45.14 %
713,Jhang-I,NA-86,Muhammad Tahir Shah,Pakistan Muslim League,40829,138686,0,138661,307209,45.14 %
714,Jhang-I,NA-86,Qaisar Ahmed Sheikh,Independent,39605,138686,0,138661,307209,45.14 %
715,Jhang-I,NA-86,Syed Anayat Ali Shah,Pakistan Peoples Party Parliamentarians,57583,138686,0,138661,307209,45.14 %
716,Jhang-II,NA-87,Ghulam Bibi Bharwana,Pakistan Muslim League,63515,142022,6457,146653,307499,47.6 %
717,Jhang-II,NA-87,Makhdoomzada Syed Asad Hayat,Independent,21874,142022,6457,146653,307499,47.6 %
718,Jhang-II,NA-87,Muhammad Javid Arif Gondal,Independent,1012,142022,6457,146653,307499,47.6 %
719,Jhang-II,NA-87,Syeda Sughra Imam,Pakistan Peoples Party Parliamentarians,55621,142022,6457,146653,307499,47.6 %
720,Jhang-III,NA-88,Makhdoom Syed Faisal Saleh Hayat,Pakistan Muslim League,72162,160934,8524,169458,372743,45.46 %
721,Jhang-III,NA-88,Rai Sarfraz Ahmed Bhatti,Independent,23885,160934,8524,169458,372743,45.46 %
722,Jhang-III,NA-88,Syed Raza Ali Bukhari,Pakistan Muslim League (N),7995,160934,8524,169458,372743,45.46 %
723,Jhang-III,NA-88,Syeda Abida Hussain,Pakistan Peoples Party Parliamentarians,56892,160934,8524,169458,372743,45.46 %
724,Jhang-IV,NA-89,Abd-ul-Qadoos Awan,Pakistan Muhafiz Party,46,125421,5028,129838,312773,41.51 %
725,Jhang-IV,NA-89,Dr. Abu-ul-Hassan Ansari,Pakistan Muslim League (N),15743,125421,5028,129838,312773,41.51 %
726,Jhang-IV,NA-89,Haji Munir Ahmed Shahid,Independent,37,125421,5028,129838,312773,41.51 %
727,Jhang-IV,NA-89,Mehr Ansar Javaid Naul,Independent,47,125421,5028,129838,312773,41.51 %
728,Jhang-IV,NA-89,Molana Abd-ul-Ghafoor Jhangvi,Independent,908,125421,5028,129838,312773,41.51 %
729,Jhang-IV,NA-89,Molana Muhammad Ahmed Ludhyanvi,Independent,45216,125421,5028,129838,312773,41.51 %
730,Jhang-IV,NA-89,Mujahid Abbas,Independent,71,125421,5028,129838,312773,41.51 %
731,Jhang-IV,NA-89,Sheikh Hakim Ali,Independent,1095,125421,5028,129838,312773,41.51 %
732,Jhang-IV,NA-89,Sheikh Waqar Ahmed Advocate,Pakistan Peoples Party Parliamentarians,9363,125421,5028,129838,312773,41.51 %
733,Jhang-IV,NA-89,Sheikh Waqas Akram,Pakistan Muslim League,51976,125421,5028,129838,312773,41.51 %
734,Jhang-IV,NA-89,Syed Abd-ul-Basit Gilani,Independent,523,125421,5028,129838,312773,41.51 %
735,Jhang-IV,NA-89,Syed Sana-ul-Haq Tirmizi,Independent,396,125421,5028,129838,312773,41.51 %
736,Jhang-V,NA-90,Iqbal Hussain Nadeem alias Iqbal Nadeem Sial,Independent,294,130849,4567,135021,273873,49.30 %
737,Jhang-V,NA-90,Moulana Muhammad Zahid Anwar,MUTTHIDA MAJLIS-E-AMAL PAKISTAN,4545,130849,4567,135021,273873,49.30 %
738,Jhang-V,NA-90,Sahibzada Muhammad Nazir Sultan,Pakistan Muslim League,58099,130849,4567,135021,273873,49.30 %
739,Jhang-V,NA-90,Sahibzada Muhammad Tahir Sultan,Pakistan Muslim League (N),3152,130849,4567,135021,273873,49.30 %
740,Jhang-V,NA-90,Saima Akhtar Bharwana,Independent,64759,130849,4567,135021,273873,49.30 %
741,Jhang-VI,NA-91,Atta Ullah Khan,Pakistan Peoples Party Parliamentarians,65253,150514,5189,155370,320219,48.51 %
742,Jhang-VI,NA-91,Muhammad Mehboob Sultan,Pakistan Muslim League,75803,150514,5189,155370,320219,48.51 %
743,Jhang-VI,NA-91,Sahibzada Muhammad Tahir Sultan,Pakistan Muslim League (N),9458,150514,5189,155370,320219,48.51 %
744,Toba Tek Singh-I,NA-92,Farkhanda Amjad Warraich,Pakistan Muslim League,69827,169210,4126,172541,286827,60.15 %
745,Toba Tek Singh-I,NA-92,Hamza,Pakistan Muslim League (N),57203,169210,4126,172541,286827,60.15 %
746,Toba Tek Singh-I,NA-92,Muhammad Khalid Bashir Tarnsporter,Pakistan Peoples Party Parliamentarians,42180,169210,4126,172541,286827,60.15 %
747,Toba Tek Singh-II,NA-93,Chaudhary Amjad Ali Javed,Independent,73,169690,5196,174716,289211,60.41 %
748,Toba Tek Singh-II,NA-93,Ghulam Jilani,Independent,373,169690,5196,174716,289211,60.41 %
749,Toba Tek Singh-II,NA-93,Hafeez-Ullah Ishaq,Pakistan Peoples Party Parliamentarians,17994,169690,5196,174716,289211,60.41 %
750,Toba Tek Singh-II,NA-93,Mian Muhammad Kashif Ashfaq,Pakistan Muslim League,64287,169690,5196,174716,289211,60.41 %
751,Toba Tek Singh-II,NA-93,Muhammad Junaid Anwaar Chudhary,Pakistan Muslim League (N),84061,169690,5196,174716,289211,60.41 %
752,Toba Tek Singh-II,NA-93,Neelam Jabbar Chaudhary,Independent,2764,169690,5196,174716,289211,60.41 %
753,Toba Tek Singh-II,NA-93,Shahid Nazir,Independent,138,169690,5196,174716,289211,60.41 %
754,Toba Tek Singh-III,NA-94,Chaudhary Asad-Ur-Rehman,Pakistan Muslim League (N),59284,184430,6040,189920,314704,60.34 %
755,Toba Tek Singh-III,NA-94,Doctor Sadia Mumtaz Doltana,Independent,598,184430,6040,189920,314704,60.34 %
756,Toba Tek Singh-III,NA-94,Haider Ali Khan Kharal,Pakistan Peoples Party Parliamentarians,59348,184430,6040,189920,314704,60.34 %
757,Toba Tek Singh-III,NA-94,Makhdoom Nazir Hussain,Independent,203,184430,6040,189920,314704,60.34 %
758,Toba Tek Singh-III,NA-94,Mehar Yasin Darsana,Independent,180,184430,6040,189920,314704,60.34 %
759,Toba Tek Singh-III,NA-94,Mian Zahid-Ur-Rehman,Independent,168,184430,6040,189920,314704,60.34 %
760,Toba Tek Singh-III,NA-94,Muhammad Farooq Seemab,Independent,911,184430,6040,189920,314704,60.34 %
761,Toba Tek Singh-III,NA-94,Muhammad Shafiq,Independent,141,184430,6040,189920,314704,60.34 %
762,Toba Tek Singh-III,NA-94,Mukhtar Ahmad Tabsum,Independent,153,184430,6040,189920,314704,60.34 %
763,Toba Tek Singh-III,NA-94,Riaz Fatiyana,Pakistan Muslim League,63444,184430,6040,189920,314704,60.34 %
764,Gujranwala-I,NA-95,Abdul Moeen Qureshi,MUTTHIDA MAJLIS-E-AMAL PAKISTAN,337,107847,2113,109921,328711,33.4 %
765,Gujranwala-I,NA-95,Arshad Mahmood Rabbani,Muttahida Qaumi Movement Pakistan,100,107847,2113,109921,328711,33.4 %
766,Gujranwala-I,NA-95,Ch. Imran Ullah,Pakistan Muslim League,6852,107847,2113,109921,328711,33.4 %
767,Gujranwala-I,NA-95,Ch. Khalid Zafar Sansi,Independent,970,107847,2113,109921,328711,33.4 %
768,Gujranwala-I,NA-95,Ch. Muhammad Ashraf Kamboh,Independent,1859,107847,2113,109921,328711,33.4 %
769,Gujranwala-I,NA-95,Ch. Shaukat Ali Jat,Independent,74,107847,2113,109921,328711,33.4 %
770,Gujranwala-I,NA-95,Ch. Zeshan Ilyas,Pakistan Peoples Party Parliamentarians,44034,107847,2113,109921,328711,33.4 %
771,Gujranwala-I,NA-95,Hafiz Hasham Elahi Zaheer,Jamait Ahle-Hadith Pakistan(Elahi Zaheer),1283,107847,2113,109921,328711,33.4 %
772,Gujranwala-I,NA-95,Khuram Shehzad Chughtaee,Independent,394,107847,2113,109921,328711,33.4 %
773,Gujranwala-I,NA-95,Muhammad Iqbal Dar,Independent,36,107847,2113,109921,328711,33.4 %
774,Gujranwala-I,NA-95,Muhammad Rafiq,Pakistan Muslim League (N),17,107847,2113,109921,328711,33.4 %
775,Gujranwala-I,NA-95,Qasim Ayoub,Independent,50,107847,2113,109921,328711,33.4 %
776,Gujranwala-I,NA-95,Shahid Usman,Independent,136,107847,2113,109921,328711,33.4 %
777,Gujranwala-I,NA-95,Usman Ibrahim,Pakistan Muslim League (N),51705,107847,2113,109921,328711,33.4 %
778,Gujranwala-II,NA-96,Atif Sabir Khan,Independent,17,100373,2178,102551,345090,29.7 %
779,Gujranwala-II,NA-96,Ch.Khalid Zafar Sansi,Independent,63,100373,2178,102551,345090,29.7 %
780,Gujranwala-II,NA-96,Engineer.Khuram Dastgir Khan,Pakistan Muslim League (N),61972,100373,2178,102551,345090,29.7 %
781,Gujranwala-II,NA-96,Hafiz Muhammad Boota,Independent,41,100373,2178,102551,345090,29.7 %
782,Gujranwala-II,NA-96,Ibtesam Elahi Zaheer,Jamait Ahle-Hadith Pakistan(Elahi Zaheer),1199,100373,2178,102551,345090,29.7 %
783,Gujranwala-II,NA-96,Imtiaz Ahmed Bhutta,Independent,103,100373,2178,102551,345090,29.7 %
784,Gujranwala-II,NA-96,Khawaja Muhammad Saleh,Pakistan Peoples Party Parliamentarians,32898,100373,2178,102551,345090,29.7 %
785,Gujranwala-II,NA-96,Khawaja Muhammad Tanveer,Independent,170,100373,2178,102551,345090,29.7 %
786,Gujranwala-II,NA-96,Mehboob Elahi,Independent,219,100373,2178,102551,345090,29.7 %
787,Gujranwala-II,NA-96,Mirza Jhangir Baig,Independent,32,100373,2178,102551,345090,29.7 %
788,Gujranwala-II,NA-96,Muhammad Iqbal Dar,Independent,28,100373,2178,102551,345090,29.7 %
789,Gujranwala-II,NA-96,Nemat Ullah Ansari,Independent,840,100373,2178,102551,345090,29.7 %
790,Gujranwala-II,NA-96,Qazi Hameed Ullah Khan,MUTTHIDA MAJLIS-E-AMAL PAKISTAN,2600,100373,2178,102551,345090,29.7 %
791,Gujranwala-II,NA-96,Shazia Arif Bhutta,Independent,191,100373,2178,102551,345090,29.7 %
792,Gujranwala-III,NA-97,Ch. Mehmood Bashir Virk,Pakistan Muslim League (N),48701,113526,3563,117159,344369,34.02 %
793,Gujranwala-III,NA-97,Ch. Shahid Akram Bhinder,Pakistan Muslim League,21626,113526,3563,117159,344369,34.02 %
794,Gujranwala-III,NA-97,Dr. Zafar Chaudhary,Pakistan Peoples Party Parliamentarians,41545,113526,3563,117159,344369,34.02 %
795,Gujranwala-III,NA-97,Fareed Iqbal Awan,Independent,160,113526,3563,117159,344369,34.02 %
796,Gujranwala-III,NA-97,Kokab Bukhari,Muttahida Qaumi Movement Pakistan,149,113526,3563,117159,344369,34.02 %
797,Gujranwala-III,NA-97,Nadeem Hussain Aadhi,Independent,1112,113526,3563,117159,344369,34.02 %
798,Gujranwala-III,NA-97,Sahibzada Shahid Khurshid,Independent,233,113526,3563,117159,344369,34.02 %
799,Gujranwala-IV,NA-98,Asif Aqeel,Pakistan Muslim League (N),46992,145988,4793,150781,368599,40.96 %
800,Gujranwala-IV,NA-98,Ch. Shamshad Ahmad Khan,Pakistan Muslim League,30259,145988,4793,150781,368599,40.96 %
801,Gujranwala-IV,NA-98,Fazal Abbas Cheema,Independent,62,145988,4793,150781,368599,40.96 %
802,Gujranwala-IV,NA-98,Imtiaz Safdar Warraich,Pakistan Peoples Party Parliamentarians,68509,145988,4793,150781,368599,40.96 %
803,Gujranwala-IV,NA-98,Rana Zulqarnain Khan,Muttahida Qaumi Movement Pakistan,38,145988,4793,150781,368599,40.96 %
804,Gujranwala-IV,NA-98,Sardar Riaz-ul-Haq,Independent,10,145988,4793,150781,368599,40.96 %
805,Gujranwala-IV,NA-98,Sardar Zia ul Haq,Jamhoori Wattan Party,28,145988,4793,150781,368599,40.96 %
806,Gujranwala-IV,NA-98,Shahbaz Khan,Independent,67,145988,4793,150781,368599,40.96 %
807,Gujranwala-IV,NA-98,Ulfat Rasul Warraich Advocate,Independent,23,145988,4793,150781,368599,40.96 %
808,Gujranwala-V,NA-99,Ch. Muhammad Abdullah Virk,Pakistan Peoples Party Parliamentarians,44705,145824,3981,149805,342054,43.80 %
809,Gujranwala-V,NA-99,Ch. Shamshad Ahmad Khan,Pakistan Muslim League,39986,145824,3981,149805,342054,43.80 %
810,Gujranwala-V,NA-99,Maulana Zahoor Ahmad Ranjha,MUTTHIDA MAJLIS-E-AMAL PAKISTAN,144,145824,3981,149805,342054,43.80 %
811,Gujranwala-V,NA-99,Rana Nazir Ahmad Khan,Pakistan Muslim League (N),60219,145824,3981,149805,342054,43.80 %
812,Gujranwala-V,NA-99,Rana Umar Nazir Ahmad Khan,Jamhoori Wattan Party,690,145824,3981,149805,342054,43.80 %
813,Gujranwala-V,NA-99,Saleem Raza Gilani,Independent,80,145824,3981,149805,342054,43.80 %
814,Gujranwala-VI,NA-100,Abid Usman Sandal,National Party,72,142896,1320,144216,329285,43.79 %
815,Gujranwala-VI,NA-100,Azhar Qayyum Nahra,Pakistan Muslim League (N),66901,142896,1320,144216,329285,43.79 %
816,Gujranwala-VI,NA-100,Babar Iftikhar Rana,Independent,456,142896,1320,144216,329285,43.79 %
817,Gujranwala-VI,NA-100,Ch. Sadaqat Hussain Gujjar,Independent,50,142896,1320,144216,329285,43.79 %
818,Gujranwala-VI,NA-100,Ch. Tassaduq Masood Khan,Pakistan Peoples Party Parliamentarians,71112,142896,1320,144216,329285,43.79 %
819,Gujranwala-VI,NA-100,Haji Abdul Ghafoor Gujjar,Independent,168,142896,1320,144216,329285,43.79 %
820,Gujranwala-VI,NA-100,Khalid Fayyaz Khokhar,Independent,178,142896,1320,144216,329285,43.79 %
821,Gujranwala-VI,NA-100,Khalid Mehmood Manj,Pakistan Muslim League,2639,142896,1320,144216,329285,43.79 %
822,Gujranwala-VI,NA-100,Muhammad Asghar Warriach,Independent,45,142896,1320,144216,329285,43.79 %
823,Gujranwala-VI,NA-100,Rana Shabbir Haider Mubarak,Independent,51,142896,1320,144216,329285,43.79 %
824,Gujranwala-VI,NA-100,Rao Muhammad Zahid Ali Khan,Independent,35,142896,1320,144216,329285,43.79 %
825,Gujranwala-VI,NA-100,Saood Fateh Muhammad,Independent,945,142896,1320,144216,329285,43.79 %
826,Gujranwala-VI,NA-100,Sarfraz Khan Chattah,Independent,41,142896,1320,144216,329285,43.79 %
827,Gujranwala-VI,NA-100,Zohair Zia Manj,Independent,203,142896,1320,144216,329285,43.79 %
828,Gujranwala-VII,NA-101,Asma Shahnawaz Cheema,Pakistan Peoples Party Parliamentarians,37554,161010,4892,165545,377640,43.83 %
829,Gujranwala-VII,NA-101,Hamid Nasir Chatha,Pakistan Muslim League,48813,161010,4892,165545,377640,43.83 %
830,Gujranwala-VII,NA-101,Jauhara Sarwar Cheema,Independent,499,161010,4892,165545,377640,43.83 %
831,Gujranwala-VII,NA-101,Justice(R) Iftikhar Ahmad Cheema,Pakistan Muslim League (N),71792,161010,4892,165545,377640,43.83 %
832,Gujranwala-VII,NA-101,Muhammad Ahmad Chatha,Independent,2352,161010,4892,165545,377640,43.83 %
833,Hafizabad-I,NA-102,Ch Shoukat Ali Bhatti,Pakistan Muslim League,42808,120688,4556,125244,204649,61.20 %
834,Hafizabad-I,NA-102,Malik Shoukat Hayyat Awan,Pakistan Peoples Party Parliamentarians,21567,120688,4556,125244,204649,61.20 %
835,Hafizabad-I,NA-102,Saira Afzal Tarar,Pakistan Muslim League (N),56313,120688,4556,125244,204649,61.20 %
836,Hafizabad-II,NA-103,Ch Liaqat Abbas Bhatti,Pakistan Muslim League,56791,121383,4100,125483,198007,63.37 %
837,Hafizabad-II,NA-103,Mian Shahid Hussain Khan,Pakistan Muslim League (N),54411,121383,4100,125483,198007,63.37 %
838,Hafizabad-II,NA-103,"Mushtaq Ahmad Mohal, Advocate High Court.",Pakistan Peoples Party Parliamentarians,10181,121383,4100,125483,198007,63.37 %
839,Gujrat-I,NA-104,Chaudhary Shaukat Mehmood,Independent,825,170348,3586,173568,311343,55.07 %
840,Gujrat-I,NA-104,Chaudhary Wajahat Hussain,Pakistan Muslim League,96379,170348,3586,173568,311343,55.07 %
841,Gujrat-I,NA-104,Nawabzada Ghazanfar Ali Gul,Pakistan Peoples Party Parliamentarians,63374,170348,3586,173568,311343,55.07 %
842,Gujrat-I,NA-104,Shabbir Ahmed,Independent,843,170348,3586,173568,311343,55.07 %
843,Gujrat-I,NA-104,Syed Faisal Abbas,Pakistan Muslim League (N),8927,170348,3586,173568,311343,55.07 %
844,Gujrat-II,NA-105,Alhaj Mirza Saeed Baig,Independent,262,146179,3638,150621,332332,45.32 %
845,Gujrat-II,NA-105,Ch. Ahmed Mukhtar,Pakistan Peoples Party Parliamentarians,79735,146179,3638,150621,332332,45.32 %
846,Gujrat-II,NA-105,Ch. Muhammad Gul Nawaz,Independent,444,146179,3638,150621,332332,45.32 %
847,Gujrat-II,NA-105,Ch. Shujaat Hussain,Pakistan Muslim League,65738,146179,3638,150621,332332,45.32 %
848,Gujrat-III,NA-106,Ch. Jamshaid Nasar,Independent,389,172429,6456,179026,322310,55.54 %
849,Gujrat-III,NA-106,Col(R) Mian Muhammad Akram Advocate,Pakistan Muslim League (N),10506,172429,6456,179026,322310,55.54 %
850,Gujrat-III,NA-106,Muhammad Asif Chaudhary,Independent,337,172429,6456,179026,322310,55.54 %
851,Gujrat-III,NA-106,Qamar Zaman Kaira,Pakistan Peoples Party Parliamentarians,89555,172429,6456,179026,322310,55.54 %
852,Gujrat-III,NA-106,Syed Faiz-ul-Hassan Shah,Independent,626,172429,6456,179026,322310,55.54 %
853,Gujrat-III,NA-106,Syed Noor-ul-Hassan Shah,Pakistan Muslim League,71016,172429,6456,179026,322310,55.54 %
854,Gujrat-IV,NA-107,Ali Asghar,Independent,105,183291,2019,185310,402898,45.99 %
855,Gujrat-IV,NA-107,Allama Shabir Ahmed Chishti Nizami Saka,Independent,49,183291,2019,185310,402898,45.99 %
856,Gujrat-IV,NA-107,Ch. Shabbir Ahmed,Independent,474,183291,2019,185310,402898,45.99 %
857,Gujrat-IV,NA-107,Irfan Naseer Chaudhary,Independent,209,183291,2019,185310,402898,45.99 %
858,Gujrat-IV,NA-107,Malik Faisal Javed Awan,Independent,216,183291,2019,185310,402898,45.99 %
859,Gujrat-IV,NA-107,Muhammad Hanif Malik,Pakistan Muslim League (N),104382,183291,2019,185310,402898,45.99 %
860,Gujrat-IV,NA-107,Muhammad Riaz Chub Advocate,Independent,232,183291,2019,185310,402898,45.99 %
861,Gujrat-IV,NA-107,Nadeem Ashiq,Independent,1356,183291,2019,185310,402898,45.99 %
862,Gujrat-IV,NA-107,Noman Ashraf Chaudhary,Independent,39,183291,2019,185310,402898,45.99 %
863,Gujrat-IV,NA-107,Rashid Mahmood,Independent,718,183291,2019,185310,402898,45.99 %
864,Gujrat-IV,NA-107,Rehman Naseer Chaudhary,Pakistan Muslim League,74062,183291,2019,185310,402898,45.99 %
865,M.B.Din-I,NA-108,Ijaz Ahmed Chaudhary,Independent,67769,182659,5054,187602,338597,55.41 %
866,M.B.Din-I,NA-108,Muhammad Tariq Tarar,Pakistan Peoples Party Parliamentarians,73951,182659,5054,187602,338597,55.41 %
867,M.B.Din-I,NA-108,Shahzad Akhtar Tarar Advocate,Independent,953,182659,5054,187602,338597,55.41 %
